Company,Location,Position,Link,Resume Path
Capgemini Engineering,"Bengaluru, Karnataka, India",Data Scientist- Across PAN India,https://in.linkedin.com/jobs/view/data-scientist-across-pan-india-at-capgemini-engineering-4228162369?position=1&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=Le8VvTQTbGGY6y2rf%2F0Y1g%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-across-pan-india-at-capgemini-engineering-4228162369.pdf
Valiance Solutions,"Bengaluru, Karnataka, India",Data Scientist,https://in.linkedin.com/jobs/view/data-scientist-at-valiance-solutions-4075570637?position=2&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=NtbZn8Rwu8%2FW0ZqWtZZ3cw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-at-valiance-solutions-4075570637.pdf
Dexian India,India,Data Scientist,https://in.linkedin.com/jobs/view/data-scientist-at-dexian-india-4264355859?position=3&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=emMCTDfAcn%2FzwK%2FlyYdyIQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-at-dexian-india-4264355859.pdf
bluCognition,India,"Data Scientist (Risk strategy, SME)",https://in.linkedin.com/jobs/view/data-scientist-risk-strategy-sme-at-blucognition-4172315084?position=4&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=Ib8x%2BW5deaaBobPBCzX9xA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-risk-strategy-sme-at-blucognition-4172315084.pdf
Recro,India,Data Scientist,https://in.linkedin.com/jobs/view/data-scientist-at-recro-4271310370?position=5&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=6U4R7RtSUjWEsa8qP14bjA%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-at-recro-4271310370.pdf
Interview Kickstart,India,Machine Learning Engineer,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-interview-kickstart-4267255580?position=6&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=Bn%2FmPfENCNnNO9auWhECdQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\machine-learning-engineer-at-interview-kickstart-4267255580.pdf
Ascendeum,India,Research Scientist – AI/ML,https://in.linkedin.com/jobs/view/research-scientist-%E2%80%93-ai-ml-at-ascendeum-4265400511?position=7&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=M9o9MXobFHbcO5VdIr9B%2Bg%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\research-scientist-%E2%80%93-ai-ml-at-ascendeum-4265400511.pdf
Motive,India,"Data Scientist, People Analytics",https://in.linkedin.com/jobs/view/data-scientist-people-analytics-at-motive-4257177833?position=8&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=PXocrCgONIbAeCzvc6nQUQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\data-scientist-people-analytics-at-motive-4257177833.pdf
Idea Elan,India,AI Engineer,https://in.linkedin.com/jobs/view/ai-engineer-at-idea-elan-4259182911?position=9&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=E7fGEN%2Fau7HRI3TBoifAuw%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\ai-engineer-at-idea-elan-4259182911.pdf
Recro,India,Senior Data Scientist,https://in.linkedin.com/jobs/view/senior-data-scientist-at-recro-4271586232?position=10&pageNum=0&refId=X5mxesijinZ7v4lG73gcBQ%3D%3D&trackingId=N1eyHLzK2Fs5iAW2K0%2BkSQ%3D%3D,E:\study\GitHub\RESUME-BUILDER-WITH-AI\Resumes\senior-data-scientist-at-recro-4271586232.pdf
